bmkegId	volume	issue	journal_id
33960	174	2	4668
33963	174	2	4668
33965	174	2	4668
33966	174	2	4668
33968	174	1	4668
33970	174	1	4668
33971	174	1	4668
33972	174	1	4668
33977	174	1	4668
33978	174	1	4668
33980	174	1	4668
33983	174	1	4668
33985	173	4	4668
33987	173	4	4668
33990	173	4	4668
33992	173	4	4668
33994	173	4	4668
33995	173	4	4668
33996	173	4	4668
33997	173	3	4668
33998	173	3	4668
33999	173	3	4668
34001	173	3	4668
34004	173	3	4668
34005	173	3	4668
34007	173	3	4668
34009	173	3	4668
34010	173	3	4668
34011	173	2	4668
34013	173	2	4668
34015	173	2	4668
34017	173	2	4668
34019	173	2	4668
34021	173	2	4668
34023	173	2	4668
34025	173	2	4668
34026	173	2	4668
34027	173	1	4668
34028	173	1	4668
34030	173	1	4668
34031	173	1	4668
34032	173	1	4668
34034	173	1	4668
34036	173	1	4668
34038	176	2	4668
34040	176	2	4668
34042	176	2	4668
34044	176	1	4668
34046	176	1	4668
34050	176	1	4668
34051	176	1	4668
34054	176	1	4668
34056	176	1	4668
34057	176	1	4668
34059	175	4	4668
34062	175	4	4668
34065	175	4	4668
34066	175	4	4668
34067	175	3	4668
34069	175	3	4668
34071	175	3	4668
34073	175	3	4668
34074	175	3	4668
34076	175	3	4668
34078	175	3	4668
34082	175	2	4668
34085	175	2	4668
34086	175	2	4668
34088	175	2	4668
34090	175	2	4668
34091	175	2	4668
34092	175	1	4668
34095	175	1	4668
34097	175	1	4668
34098	175	1	4668
34100	175	1	4668
34103	175	1	4668
34105	174	4	4668
34110	174	4	4668
34111	174	4	4668
34113	174	4	4668
34115	174	4	4668
34116	174	3	4668
34117	174	3	4668
34118	174	3	4668
34120	174	3	4668
34121	174	3	4668
34123	174	3	4668
34124	174	2	4668
34126	174	2	4668
34127	174	2	4668
34130	174	2	4668
34131	174	2	4668
34132	177	3	4668
34136	177	3	4668
34138	177	2	4668
34141	177	2	4668
34144	177	2	4668
34145	177	2	4668
34147	177	2	4668
34151	177	2	4668
34154	177	2	4668
34155	177	2	4668
34157	177	1	4668
34159	177	1	4668
34160	177	1	4668
34163	177	1	4668
34165	177	1	4668
34169	177	1	4668
34171	177	1	4668
34173	177	1	4668
34176	177	1	4668
34177	177	1	4668
34179	176	4	4668
34181	176	4	4668
34182	176	4	4668
34185	176	4	4668
34187	176	4	4668
34188	176	4	4668
34189	176	4	4668
34190	176	4	4668
34193	176	4	4668
34194	176	4	4668
34196	176	4	4668
34198	176	4	4668
34199	176	3	4668
34203	176	3	4668
34205	176	3	4668
34206	176	3	4668
34209	176	3	4668
34213	176	3	4668
34214	176	3	4668
34216	176	3	4668
34218	176	3	4668
34221	176	2	4668
34223	176	2	4668
34225	176	2	4668
34226	176	2	4668
34229	176	2	4668
34230	176	2	4668
34231	176	2	4668
34234	178	4	4668
34236	178	4	4668
34238	178	4	4668
34239	178	4	4668
34242	178	4	4668
34244	178	4	4668
34246	178	3	4668
34248	178	3	4668
34251	178	3	4668
34252	178	3	4668
34253	178	3	4668
34255	178	3	4668
34261	178	3	4668
34263	178	3	4668
34266	178	2	4668
34269	178	2	4668
34273	178	2	4668
34275	178	2	4668
34276	178	2	4668
34279	178	2	4668
34280	178	2	4668
34282	178	1	4668
34284	178	1	4668
34286	178	1	4668
34288	178	1	4668
34291	178	1	4668
34293	178	1	4668
34296	178	1	4668
34297	178	1	4668
34299	178	1	4668
34302	177	4	4668
34304	177	4	4668
34306	177	4	4668
34307	177	4	4668
34309	177	4	4668
34312	177	4	4668
34314	177	4	4668
34316	177	4	4668
34317	177	3	4668
34320	177	3	4668
34323	177	3	4668
34326	177	3	4668
34327	180	1	4668
34329	180	1	4668
34331	179	4	4668
