bmkegId	uri	resource_id
154	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684534&PLACEBO=IE.pdf&mode=pdf	32581
155	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684533&PLACEBO=IE.pdf&mode=pdf	32583
156	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684530&PLACEBO=IE.pdf&mode=pdf	32584
157	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684529&PLACEBO=IE.pdf&mode=pdf	32585
158	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684532&PLACEBO=IE.pdf&mode=pdf	32588
159	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684540&PLACEBO=IE.pdf&mode=pdf	32593
160	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684543&PLACEBO=IE.pdf&mode=pdf	32596
161	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684541&PLACEBO=IE.pdf&mode=pdf	32598
162	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684538&PLACEBO=IE.pdf&mode=pdf	32599
163	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684539&PLACEBO=IE.pdf&mode=pdf	32603
164	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684521&PLACEBO=IE.pdf&mode=pdf	32605
165	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684522&PLACEBO=IE.pdf&mode=pdf	32607
166	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684523&PLACEBO=IE.pdf&mode=pdf	32608
167	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684521&PLACEBO=IE.pdf&mode=pdf	32611
168	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684522&PLACEBO=IE.pdf&mode=pdf	32612
169	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684523&PLACEBO=IE.pdf&mode=pdf	32613
170	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684525&PLACEBO=IE.pdf&mode=pdf	32615
171	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684525&PLACEBO=IE.pdf&mode=pdf	32617
172	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684512&PLACEBO=IE.pdf&mode=pdf	32618
173	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684513&PLACEBO=IE.pdf&mode=pdf	32620
174	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684514&PLACEBO=IE.pdf&mode=pdf	32622
175	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684517&PLACEBO=IE.pdf&mode=pdf	32624
176	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684518&PLACEBO=IE.pdf&mode=pdf	32626
177	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684515&PLACEBO=IE.pdf&mode=pdf	32628
178	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684504&PLACEBO=IE.pdf&mode=pdf	32633
179	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684507&PLACEBO=IE.pdf&mode=pdf	32634
180	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684508&PLACEBO=IE.pdf&mode=pdf	32636
181	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684505&PLACEBO=IE.pdf&mode=pdf	32640
182	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684506&PLACEBO=IE.pdf&mode=pdf	32641
183	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684497&PLACEBO=IE.pdf&mode=pdf	32644
184	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684498&PLACEBO=IE.pdf&mode=pdf	32645
185	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684499&PLACEBO=IE.pdf&mode=pdf	32648
186	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684500&PLACEBO=IE.pdf&mode=pdf	32650
