bmkegId	affiliation	lastName	initials
33413	\N	Ventura	R
33414	\N	Bianchi	R
33418	\N	Keefer	DA
33419	\N	Stumpf	WE
33421	\N	Cheek	MD
33422	\N	Trevino	DL
33425	\N	Morrell	JI
33426	\N	Kelley	DB
33430	\N	Schwartz	RH
33432	\N	Sawyer	RH
33433	\N	Hendrickx	AG
33435	\N	Antonetty	CM
33438	\N	Foster	RE
33440	\N	Updyke	BV
33442	\N	Hartman	BK
33444	\N	Broadwell	RD
33447	\N	Berkley	KJ
33451	\N	Leonard	RB
33455	\N	Wagor	E
33456	\N	Lin	CS
33459	\N	Sulston	J
33460	\N	Dew	M
33462	\N	Bombardiei	RA
33463	\N	Campos	GB
33465	\N	Gilbert	CD
33468	\N	Hughes	A
33471	\N	Groenewegen	HJ
33474	\N	Hayes	BP
33476	\N	Hunt	SP
33478	\N	Wahlsten	D
33479	\N	Hudspeth	WJ
33480	\N	Bernhardt	K
33482	\N	Mugnaini	E
33483	\N	Dahl	AL
33485	\N	Hattori	T
33486	\N	Fibiger	HC
33487	\N	McGeer	PL
33489	\N	Wilkinson	JM
33491	\N	Reid	JM
33492	\N	Flumerfelt	BA
33493	\N	Gwyn	DG
33495	\N	Sprich	WW
33497	\N	Gulley	RL
33498	\N	Cochran	M
33501	\N	Gobel	S
33503	\N	Gwym	DG
33505	\N	Godfrey	DA
33506	\N	Kiang	NY
33507	\N	Norris	BE
33510	\N	Moxon	SE
33512	\N	Hollyday	M
33513	\N	Mendell	L
33515	\N	Arnold	AP
33518	\N	Mejia	H
33520	\N	Nakano	K
33521	\N	Kim	R
33524	\N	Smeets	WJ
33526	\N	Opdam	P
33528	\N	McBride	RL
33529	\N	Sutin	J
33531	\N	Opdam	R
33533	\N	Tisdale	AD
33535	\N	DiPette	DJ
33536	\N	Sheely	JC
33538	\N	Jacobs	GH
33539	\N	Fisher	SK
33540	\N	Anderson	DH
33541	\N	Silverman	MS
33545	\N	West	MJ
33547	\N	Moore	CL
33548	\N	Kalil	R
33549	\N	Richards	W
33551	\N	Ludwin	SK
33552	\N	Kosek	JC
33553	\N	Eng	LF
33555	\N	Bunt	AH
33557	\N	Voneida	TJ
33558	\N	Sligar	CM
33564	\N	Nakao	T
33566	\N	Provine	RR
33567	\N	Seshan	KR
33568	\N	Aloe	L
33571	\N	Devor	M
33572	\N	Derer	P
33574	\N	Royce	GJ
33577	\N	Walberg	F
33578	\N	Hoddevik	GH
33580	\N	Parks	TN
33584	\N	Cheung	Y
33587	\N	Miller	R
33590	\N	Barber	R
33591	\N	Saito	K
33592	\N	Roberts	E
33593	\N	Wu	JY
33595	\N	Fuchs	AF
33598	\N	Freedman	R
33599	\N	Foote	SL
33601	\N	FitzPatrick	KA
33603	\N	Nabeshima	S
33605	\N	Halaris	AE
33607	\N	Vance	WH
33608	\N	Clifton	GL
33609	\N	Applebaum	ML
33611	\N	Konishi	A
33612	\N	Sato	M
33614	\N	Ten Donkelaar	HJ
33616	\N	Saper	CB
33618	\N	Beals	JK
33620	\N	Steward	O
33624	\N	Falls	WM
33627	\N	Clarke	PG
33631	\N	Martinez-Vargas	MC
33632	\N	Sar	M
33634	\N	Chernenko	GA
33636	\N	Hancock	MB
33638	\N	Shivers	RR
33640	\N	Zecevic	N
33642	\N	Marin-Padilla	M
33644	\N	Severin	CM
33645	\N	Young	PA
33646	\N	Massapust	LC
33648	\N	Smith	DJ
33649	\N	Miller	LC
33651	\N	Emery	DG
33652	\N	Foreman	RD
33654	\N	Creel	D
33657	\N	Beckstead	RM
33659	\N	Merzenich	MM
33660	\N	Roth	GL
33662	\N	Johnson	TN
33663	\N	Rosvold	HE
33664	\N	Galkin	TW
33665	\N	Goldman	PS
33667	\N	Mickle	JP
33669	\N	Braak	H
33671	\N	Eller	T
33672	\N	Chan-Palay	V
33674	\N	Casseday	HJ
33679	\N	Prendergast	J
33687	\N	Pearlman	AL
33688	\N	Hughes	CP
33691	\N	Narayanan	Y
33695	\N	Constantine-Paton	M
33696	\N	Capranica	RR
33699	\N	Romand	R
33700	\N	Sans	A
33701	\N	Romand	MR
33703	\N	Oster-Granite	ML
33704	\N	Herndon	RM
33706	\N	Spira	AW
33710	\N	Scoville	SA
33712	\N	Matsumoto	SG
33714	\N	Price	DL
33715	\N	Stocks	A
33718	\N	Trojanowski	JQ
33719	\N	Jacobson	S
33721	\N	Jayaraman	A
33723	\N	Wassle	H
33729	\N	Rowe	MH
33733	\N	Loop	MS
33735	\N	Vogt	BA
33738	\N	Shimada	S
33739	\N	Ishikawa	M
33740	\N	Tanaka	C
33742	\N	Weisberg	JA
33744	\N	Mize	RR
33745	\N	Murphy	EH
33749	\N	Cragg	B
33750	\N	Anker	R
33751	\N	Wan	YK
33753	\N	Wise	SP
33755	\N	Sugiura	Y
33761	\N	LuQui	IJ
33762	\N	Fox	CL
33764	\N	Dutta	CR
33766	\N	Beal	JA
33768	\N	CowanFox	WMCA
33770	\N	Benowitz	LI
33772	\N	Butler	V
33773	\N	Reynolds	WA
33777	\N	Lu	EJ
33778	\N	Brown	WJ
33781	\N	Shatz	C
33783	\N	Chamberlain	SC
33785	\N	Douville	A
33786	\N	Mascetti	G
33787	\N	Grobstein	P
33790	\N	Krettek	JE
33793	\N	Van Winkle	T
33795	\N	Schader	RE
33797	\N	Stromberg	MW
33801	\N	Winfree	AT
33803	\N	Imig	TJ
33804	\N	Ruggero	MA
33805	\N	Kitzes	LM
33806	\N	Javel	E
33807	\N	Brugge	JF
33809	\N	RoBards	MJ
33810	\N	Watkins	DW
33811	\N	Masterton	RB
33813	\N	Rosenstein	JM
33815	\N	Govind	CK
33816	\N	Lang	F
33818	\N	Menken	SB
33820	\N	Hurwitz	JL
33822	\N	Tolbert	DL
33823	\N	Murphy	MG
33825	\N	Ward	JP
33828	\N	Paula-Barbosa	MM
33829	\N	Sobrinho-Simões	MA
33833	\N	Gerlach	JL
33834	\N	McEwen	BS
33835	\N	Ferin	M
33836	\N	Carmel	P
33837	\N	Zimmerman	EA
33840	\N	Thorpe	PA
33841	\N	Herbert	J
33843	\N	Vaney	DI
33845	\N	Butcher	LL
33847	\N	Kratz	KE
33849	\N	Clark	RD
33852	\N	Pearson	LJ
33853	\N	Wells	RT
33855	\N	Hildebrand	C
33856	\N	Aldskogius	H
33858	\N	Künzle	H
33861	\N	Adams	JC
33863	\N	Wann	JR
33867	\N	Matthews	DA
33873	\N	Cheal	M
33874	\N	Dickey	WP
33875	\N	Jones	LB
33876	\N	Oakley	B
33879	\N	Maynard	CW
33881	\N	Ferster	D
33883	\N	Juraska	JM
33884	\N	Wilson	CJ
33885	\N	Groves	PM
33887	\N	Lewis	JA
33888	\N	Hodgkin	JA
33890	\N	Levy	J
33891	\N	DiBerardino	A
33892	\N	Berlucchi	G
33896	\N	LaMotte	C
33898	\N	Merchant	RE
33900	\N	Nelson	LR
33901	\N	Dougherty	WJ
33903	\N	Henkel	CK
33905	\N	Platt	C
33908	\N	Szeligo	F
33912	\N	Bos	J
33915	\N	Ruggiero	D
33916	\N	Batton	RR
33918	\N	Ito	H
33920	\N	English	KB
33922	\N	Nelson	R
33926	\N	Provis	J
33928	\N	Cunningham	TJ
33929	\N	Freeman	JA
33931	\N	Skeen	LC
33933	\N	Nadler	JV
33934	\N	Paoletti	C
33935	\N	Lynch	GS
33938	\N	Rice	FL
33939	\N	Van der Loos	H
33942	\N	Parnavelas	JG
33943	\N	Mounty	EJ
33944	\N	Bradford	R
33946	\N	Kennedy	MC
33947	\N	Rubinson	K
33949	\N	Caldwell	JH
33950	\N	Berman	N
33952	\N	Van Essen	DC
33954	\N	Minckler	DS
33955	\N	Johanson	GW
33958	\N	Lewis	JC
33959	\N	Burton	PR
33961	\N	Marani	E
33962	\N	Boekee	A
33964	\N	Imamoto	K
33967	\N	Saporta	S
33969	\N	Oberdorfer	MD
33973	\N	Andrezik	J
33974	\N	Crutcher	K
33975	\N	Linauts	M
33976	\N	Panneton	M
33979	\N	Andrezik	JA
33981	\N	Bohringer	RC
33982	\N	Rowe	MJ
33984	\N	Snyder	R
33986	\N	Onge	MF
33988	\N	Meyer	W
33989	\N	Idel	K
33991	\N	Graham	J
33993	\N	Kokoros	JJ
34000	\N	Shatz	CJ
34002	\N	McDonald	DM
34003	\N	Rasmussen	GL
34006	\N	Vijayashankar	N
34008	\N	Knudsen	EI
34012	\N	Robson	JA
34014	\N	Kane	ES
34016	\N	Sims	TJ
34018	\N	Luckenbill-Edds	L
34020	\N	Mustari	MJ
34022	\N	Turner	L
34024	\N	Fricke	R
34029	\N	Swisher	DA
34033	\N	Waite	PM
34035	\N	Herkenham	M
34037	\N	Porter	R
34039	\N	Fulcrand	J
34041	\N	Boothe	RG
34043	\N	Guglielmotti	V
34045	\N	Spencer	RF
34047	\N	Mitchell	DE
34048	\N	Cynader	M
34049	\N	Movshon	JA
34052	\N	Brown	JT
34053	\N	Palay	SL
34055	\N	Perachio	AA
34058	\N	Sasaki	H
34060	\N	White	EL
34061	\N	DeAmicis	RA
34063	\N	McNaughton	BL
34064	\N	Barnes	CA
34068	\N	Walker	JM
34070	\N	McIlwain	JT
34072	\N	Hughes	HC
34075	\N	Masland	RH
34077	\N	McArdle	CB
34079	\N	Paull	WK
34080	\N	Martin	H
